C,Mn,Al,Si,Fe,UTS,UE,SDI
0.81,26.8,12.32,0,60.07,955,38,7.954550709
0.14,7.14,0.056,0.23,92.434,1063.8,33.8,8.164596007
0.14,7.14,0.056,0.23,92.434,1092.1,32.9,8.234940611
0.02,17.9,2.9,3.2,75.98,937.9,38.3,7.892144356
0.32,5.8,5,0,88.88,882.1,40.7,7.804494874
0.14,7.14,0.056,0.23,92.434,1029.7,34.8,8.072941135
0.57,12.4,1.4,0.4,85.23,800,44.7,7.713800732
0.3,6,3,1.5,89.2,1129,31.6,8.316336413
0.3,6,3,1.5,89.2,1129,31.6,8.316336413
0,31,3,3,63,776.5,45.8,7.684172161
0.15,10,1.5,0,88.35,1537,23.1,9.695781817
0.02,15.8,2.9,3,78.28,930.4,37.8,7.813221015
0.086,8.05,0.021,0.138,91.705,1307,26.9,8.83720927
0.004,29.99,1.98,4.06,63.966,748,47,7.637298521
0.17,5.6,1.2,0,93.03,1161.8,30.2,8.368735652
0.19,4.99,0,1.98,92.84,1079,32.4,8.12756088
0.26,10.1,6.3,0,83.34,806.3,43.3,7.631540273
0.01,30.6,3.9,2,63.49,534.6,65.2,8.038467498
0.14,7.14,0.056,0.23,92.434,1095.5,31.7,8.15426865
0.15,7,0,0.2,92.65,1200,28.9,8.456737402
0.14,7.14,0.056,0.23,92.434,1044.1,33.2,8.015515968
0.7,12,5.5,0,81.8,1056.2,32.7,8.036189988
0.51,15.45,1.3,0.03,82.71,593,58,7.747532656
0.3,25,1,0,73.7,801.2,42.9,7.572974948
0.21,4.94,0.032,1.5,93.318,1168,29.4,8.334941571
0.18,6.4,2.8,0.5,90.12,753,45.5,7.540269693
0.2,5,0,0,94.8,912.9,37.5,7.699807535
0.6,18,1.5,0,79.9,868.3,39.3,7.620096303
0.6,18,1.5,0,79.9,835.2,40.8,7.574335036
0.18,6.4,2.8,0.5,90.12,762,44.7,7.520703806
0.15,7,0,0.2,92.65,1156.8,29.4,8.278028792
0.37,31.4,1.19,0,67.04,706.7,48.1,7.517219285
0.37,31.4,1.19,0,67.04,707.7,48,7.514138362
0.3,5.06,0.022,0.019,94.599,1586,21.4,9.806014061
0.2,4.72,0,0,95.08,1250.4,27.1,8.565921323
0.4,5.17,0.029,0.008,94.393,1696,19.8,10.23438011
1,28,12,0,59,937.8,35.8,7.687575676
0.3,25,1,0,73.7,851,39.2,7.524023966
0.36,30,3.1,1.9,64.64,813,41,7.477850622
0.6,22,5.86,0,71.54,690.4,48.2,7.442553288
0,33,0,3.96,63.04,724,45.8,7.417393513
0.15,10,1.5,0,88.35,1549,21.4,9.617998633
0.18,6.4,2.8,0.5,90.12,914,36.2,7.599285707
0.17,5.56,1.21,0,93.06,1233.2,26.8,8.454032292
0.18,6.4,2.8,0.5,90.12,955,34.6,7.677028388
0.11,11.5,0.38,2.46,85.55,1300,25.4,8.679202466
0.75,28.89,9.48,0.035,60.845,957,34.5,7.679028963
0.19,4.99,0,1.98,92.84,1087,30.3,7.996802019
0.28,9.33,2.6,0,87.79,959,34.3,7.672867116
0.08,12.8,0,0,87.12,1342,24.5,8.819163593
0,31,3,3,63,825,39.8,7.440879544
0.3,10,3,2,84.7,1124,29.2,8.095030814
0.15,6,3,1.5,89.35,929,35.2,7.593883966
0.08,12.8,0,0,87.12,1408,23.1,9.040268568
0.15,10,1.5,0,88.35,1229,26.4,8.400040316
0.31,31.4,5.09,0,63.2,742,43.7,7.337449632
0.32,2.65,0,0.95,96.08,1076.238656,30.0826719,7.924379036
0.14,7.14,0.056,0.23,92.434,1126,28.7,8.064381704
0.31,31.4,5.09,0,63.2,738.5,43.7,7.319664389
0.2,4.72,0,0,95.08,1180.3,27.3,8.226033151
0.23,3,1.7,0.6,94.47,1285,25,8.57033031
0.2,5,0,2.5,92.3,931.1,34.4,7.539255742
0.0163,24.3,0,0,75.6837,786.4350296,40.49475906,7.301620882
0.57,12.4,1.4,0.4,85.23,710,44.7,7.256465907
0.19,4.99,0,1.98,92.84,1228,25.8,8.34598429
0.1,13.8,0.4,2.01,83.69,1320,24,8.66655853
0.32,3.85,4.18,1.53,90.12,920.4,34.4,7.484883713
0.18,8,0,0,91.82,1047,30.2,7.785379675
0.2,5,0,2.5,92.3,1128.5,28,8.0199485
0.1,13.8,0.4,2.01,83.69,1316,24,8.646232537
0.6,20.15,9.22,0,70.03,787,40,7.26410746
0.6,20.15,9.22,0,70.03,787,40,7.26410746
0.6,20.15,9.22,0,70.03,806,39,7.279031711
0.6,20.15,9.22,0,70.03,806,39,7.279031711
0.46,1.54,0.05,1.49,96.46,1238.338952,25.23227162,8.352181273
0.2,4.72,0,0,95.08,1054.2,29.5,7.764829513
0.27,11.1,1.49,1.37,85.77,1330,23.3,8.660236562
0.25,4,1.88,0.6,93.27,1143,27.1,8.020168431
0.12,6.1,0,1.5,92.28,1083,28.6,7.837714866
0.02,16.2,1.8,4,77.98,1090.3,28.4,7.858484959
0.2,5,0,0,94.8,920.8,33.6,7.421616942
0.2,4.72,0,0,95.08,1208.1,25.6,8.228537636
0.2,4.72,0,0,95.08,1040.1,29.7,7.709505233
0.18,6.4,2.8,0.5,90.12,910,33.8,7.383061605
0.16,3.95,0,0.5,95.39,1122,27.4,7.937944236
0.3,9.3,2.15,0.028,88.222,994.8,30.7,7.560937583
0,25.5,0.19,0,74.31,799.8,38.1,7.174064632
0.14,7.14,0.056,0.23,92.434,1289.5,23.5,8.470760733
0.19,22,0,0,77.81,696.9786497,43.33294146,7.078712864
1.11,29.8,7.65,0.09,61.35,974,31,7.479729687
0.092,5.91,0.028,0.017,93.953,848,35.6,7.214932308
0,25.5,0.19,0,74.31,793,37.8,7.115023181
0.23,3,1.7,0.6,94.47,1197,25,8.123158481
0.6,20.15,9.22,0,70.03,830,36,7.156115028
0.6,20.15,9.22,0,70.03,830,36,7.156115028
0.18,6.4,2.8,0.5,90.12,737,40.5,7.050844663
0,25.6,0,0,74.4,831.4,35.8,7.146904282
1.2,30.5,2.1,0,66.2,850,35,7.176120777
0.22,6.83,0,1.53,91.42,1096.3,27,7.774700051
0.59,21.95,0.01,3.04,74.41,803,36.8,7.08421395
0.19,4.39,0.01,0,95.41,957,30.8,7.377019377
0.3,3.5,6,0,90.2,816.4,36.1,7.095169075
0.1,5.25,0,2.09,92.56,1050,28,7.621050903
0,25.6,0,0,74.4,830.4,35.4,7.109173099
0.57,12.4,1.4,0.4,85.23,910,32.3,7.260625287
0.16,3.95,0,0.5,95.39,1022,28.7,7.535905906
0.22,6.83,0,1.53,91.42,1076.5,27.2,7.690411232
0.189,4.45,0.48,0,94.881,855,34.2,7.136228897
0.1,5.25,0,2.09,92.56,1004,29.1,7.477088625
0.23,3,1.7,0.6,94.47,1449,20,8.99557493
0.8,15,7,0,77.2,1020,28.4,7.501255646
0.15,7,0,0.2,92.65,1113.8,26,7.782002054
0.15,7,0,0.2,92.65,984.2,29.3,7.392799806
0.005,14.8,0,0.02,85.175,772,37.2,6.959337195
0.01,15.9,3.5,1.9,78.69,767.2,37.4,6.951270847
0.6,18,1.5,0,79.9,889.4,32.2,7.147784006
0.35,3.5,5.8,0,90.35,830,34.48094612,7.032123452
0.2,8.5,3,0,88.3,1228.1,23.3,8.14243191
0.28,6.2,0,1.6,91.92,1243.8,23,8.197724165
0.15,6.09,1.849,0.969,90.942,1200,23.8,8.04045392
0.15,7,0,0.2,92.65,1216,23.4,8.089108204
0,26.1,0.7,0,73.2,600.5,47.3,6.912264821
0.095,5.8,0.028,0.13,93.947,736,38.4,6.874352319
0.3,4,1.82,0.6,93.28,1124.2,25.1,7.761387843
0,26.1,0.7,0,73.2,594.7,47.3,6.882792132
0.056,8.9,1,1.54,88.504,1150.5,24.4,7.837894294
0.35,3.5,5.8,0,90.35,800,34.95400788,6.918291803
0.22,11.2,1.95,0,86.63,1708.8,16.3,10.01373854
0.002,31.1,0,0,68.898,532,52.3,6.972303265
0.1,5,0.02,1.2,93.68,779.3,35.6,6.865833391
0.092,5.91,0.028,0.017,93.953,767.5,36,6.838521399
0.8,20,7,0,72.2,1005,27.3,7.335246542
0.32,5.8,5,0,88.88,952.6,28.8,7.191412362
0.14,7.14,0.056,0.23,92.434,1166.3,23.5,7.844720172
0.093,7.22,0.013,0.49,92.184,1402,19.5,8.715932415
0.093,7.22,0.013,0.49,92.184,1231,22.2,8.06738162
0.14,7.14,0.056,0.23,92.434,1225.9,22.2,8.04146598
0.18,6.4,2.8,0.5,90.12,961,28.3,7.193284839
0.002,28.4,0,0,71.598,594,45.7,6.748636344
0.6,20.15,9.22,0,70.03,875,31,6.976661379
0.6,20.15,9.22,0,70.03,875,31,6.976661379
0.1,6.38,0,0,93.52,888.8,30.5,7.005973946
1.11,29.8,7.65,0.09,61.35,960,28,7.163716078
0.1,5.25,0,2.09,92.56,1071,25,7.482889725
0.31,1.57,0.009,1.51,96.601,944.9288857,28.27420331,7.109513869
0.17,5.6,1.2,0,93.03,1120,23.8,7.633934076
0.12,6.1,0,1.5,92.28,1203.6,22.1,7.919986152
0.05,8.51,0.08,0.29,91.07,1193,22.2,7.874284694
0.4,6.25,2.24,0,91.11,1003.9,26.3,7.248032682
0.12,6.1,0,1.5,92.28,957.5,27.5,7.110200226
0.75,18,1.7,0.5,79.05,1354.8,19.4,8.467923286
0.24,31,1.18,0,67.58,632.1,41.5,6.599419729
0.12,6.1,0,1.5,92.28,992.8,26.4,7.199790474
0.31,8.8,5.1,0,85.79,1557,16.8,9.283179241
0.11,30.9,1.21,0,67.78,571.9,45.7,6.636335237
0.1,6.38,0,0,93.52,811.4,32.2,6.751427157
0.11,30.9,1.21,0,67.78,569.9,45.8,6.634334662
0.099,7.09,0.031,0.13,92.65,874,29.8,6.873630826
0.24,31,1.18,0,67.58,629.9,41.3,6.571915591
0.5,12,7,0,80.5,861.4,30.2,6.842253636
0.3,9.3,2.15,0.028,88.222,1017.2,25.5,7.250317236
0.1,5.25,0,2.09,92.56,1079,24,7.441917498
0.092,5.91,0.028,0.017,93.953,961.9,26.9,7.08358429
0.19,4.39,0.01,0,95.41,733,35.3,6.606072767
0.004,29.99,1.98,4.06,63.966,834,31,6.768319959
1.27,28.4,8.3,0.25,61.78,1047.6,24.6,7.331332986
0.56,29.06,9.57,0.04,60.77,904,28.4,6.911801871
0.14,7.14,0.056,0.23,92.434,1473.9,17.4,8.90988128
0.32,2.65,0,0.95,96.08,961.9528609,26.61743102,7.060788432
0.086,8.05,0.021,0.138,91.705,1235,20.7,7.965271294
0.056,8.9,1,1.54,88.504,1157,22,7.675025922
0.22,11.2,1.95,0,86.63,1669.7,15.2,9.725265333
0.2,5,0,0,94.8,887.1,28.6,6.842249396
0.8,12,7,0,80.2,998,25.4,7.144590052
0.12,5.1,0.064,0.009,94.707,1104,22.9,7.479168316
0.2,12.4,5.2,0.9,81.3,760,33.2,6.571862369
0.12,6.1,0,1.5,92.28,1105,22.8,7.476087392
0.195,4.52,1.3,0,93.985,977,25.7,7.062365856
0.14,7.14,0.056,0.23,92.434,1705.8,14.7,9.867895307
0.19,1.59,0.036,1.63,96.554,806,30.9,6.617875592
0.7,10.4,9.7,0,79.2,855,29.11966754,6.721550763
0.056,8.9,1,1.54,88.504,1070.3,23.2,7.332409095
0.056,8.9,1,1.54,88.504,1145.8,21.5,7.577301037
0.15,6.09,1.849,0.969,90.942,1200,20.5,7.77109402
0.12,5.1,0.064,0.009,94.707,1045,23.5,7.228334458
0.15,7,0,0.2,92.65,1284.6,19.1,8.086714859
0.4,21.83,1.5,0.16,76.11,591,41.5,6.390570159
0.25,4,1.88,0.6,93.27,1251,19.6,7.95678863
0.1,4.5,0,0,95.4,759,32.3,6.49331908
0.15,7,1,0.3,91.55,1342.3,18.2,8.306455506
0.11,4.5,2.2,0.45,92.74,851,28.7,6.666969738
0.32,1.42,0,1.56,96.7,1049.945435,23.24449985,7.232609677
0.46,1.54,0.05,1.49,96.46,1251.5637,19.48253212,7.950064848
0.19,1.59,0.036,1.63,96.554,808,30,6.554576797
0.2,5,0,2.5,92.3,1249,19.4,7.930300791
0.57,12.4,1.4,0.4,85.23,930,26,6.848022711
0.25,7.17,2.6,0,89.98,884,27.2,6.712222855
0.31,6.67,5.94,0.02,87.06,728.1,33,6.393437739
0.1,5.18,0.026,0.12,94.574,624,38.5,6.313386958
0.14,7.14,0.056,0.23,92.434,1337.5,17.9,8.257577051
0.35,3.5,5.8,0,90.35,877,27.22733246,6.678883359
0.1,6.38,0,0,93.52,768.8,31,6.437006285
0.1,6.38,0,0,93.52,825.4,28.8,6.545045809
0.12,5.8,3.1,0.47,90.51,994,23.8,6.99366532
0.47,26,9.7,0,63.83,882,26.7,6.661247753
0.28,4.08,0,1.42,94.22,1536.2,15.3,9.055047764
0.05,12,3,0,84.95,804,29.2,6.468951435
0.75,17.59,1.7,0.52,79.44,1581,14.8,9.24188677
0.208,5.11,2.47,0,92.212,1343.8,17.4,8.248778383
0.26,10.1,6.3,0,83.34,655.6,35.5,6.22908966
0.32,5.8,5,0,88.88,898.5,25.9,6.679793101
0.18,8,0,0,91.82,2004,11.6,11.13016297
0.52,29.8,2.73,2.96,63.99,802,28.9,6.434301175
0.28,4.08,0,1.42,94.22,1510.6,15.2,8.916798992
0.28,6.2,0,1.6,91.92,1282.1,17.9,7.976062059
0.28,4.08,0,1.42,94.22,1509.3,15.2,8.910193045
0.12,5.13,0,0.009,94.741,802,28.6,6.409813912
0.1,5,0.02,1.2,93.68,1061.2,21.6,7.155568723
0.6,12,0,0,87.4,830,27.6,6.470471645
0.2,12.4,5.2,0.9,81.3,815,28.1,6.43506128
0.3,4,0,1.6,94.1,1556,14.7,9.106686898
0.3,4,0,1.6,94.1,1666,13.7,9.584027472
0.201,1.8,0.041,1.24,96.718,815.7,27.9,6.422293486
0.4,3.5,5.9,0,90.2,906,25.1,6.652604967
0.6,18,1.5,0,79.9,1067.3,21.3,7.162078597
0.3,6,3,1.5,89.2,1365,16.6,8.291206772
0.3,6,3,1.5,89.2,1365,16.6,8.291206772
0.38,27.8,8.59,0.35,62.88,567.7,39.8,6.133410093
0.16,3.95,0,0.5,95.39,955.7,23.6,6.782719102
