C,Mn,Al,Si,Fe,UTS,UE,SDI
0.1,5.25,0,2.09,92.56,1438,2.3,7.494929896
0.77,1.96,0,0.03,97.24,1883.3,1.7,9.708746454
0.29,2.95,0.06,1.59,95.11,1571,2,8.146281874
0.79,2,0,1,96.21,1936.4,1.6,9.970411579
0.82,0.97,0,0.03,98.18,1188.6,2.6,6.252091544
0.8,0.03,0,0.99,98.18,1370,2.2,7.141225606
0.78,0.03,0,0.03,99.16,1347,2.2,7.024351151
0.82,0.97,0,0.03,98.18,1915.2,1.5,9.854521399
0.22,11.2,1.95,0,86.63,1398.3,2,7.268707159
0.82,0.97,0,0.03,98.18,1013.6,2.6,5.362829383
0.8,12,7,0,80.2,973,2.6,5.156520562
0.78,0.03,0,0.03,99.16,1524,1.6,7.87480178
0.78,0.03,0,0.03,99.16,706.1,3.4,3.8655681
0.19,4.39,0.01,0,95.41,950,2.5,5.031483686
0.189,4.45,0.48,0,94.881,862,2.7,4.600636699
0.189,4.45,0.48,0,94.881,889,2.6,4.729674725
0.78,0.03,0,0.03,99.16,1533.3,1.5,7.913897291
1.48,0,0,0,98.52,399.01409,5.49224,2.475889087
0.78,0.03,0,0.03,99.16,1209,1.8,6.290454734
0.1,4.5,0,0,95.4,795,2.7,4.260176329
0.82,0.97,0,0.03,98.18,1530,1.3,7.880803505
0.7,10.4,9.7,0,79.2,611,2.976455315,3.347746134
0.19,4.39,0.01,0,95.41,895,2,4.711189186
1.47,0,0,0,98.53,462.66565,3.86809,2.666764401
0.31,8.8,5.1,0,85.79,880,1.7,4.610479452
1,28,12,0,59,1065.3,1.4,5.527593778
0.28,4.95,0.06,1.64,93.07,1153,1.2,5.956916316
1.64,0,0,0,98.36,430.83987,3.19432,2.450045816
0.002,0.17,0,0.01,99.818,909.1,1.5,4.742026203
0.28,4.95,0.06,1.64,93.07,1362,1,7.002624567
0.3,9.3,2.15,0.028,88.222,1183.4,1,6.095069014
0.28,4.95,0.06,1.64,93.07,1244,0.9,6.394845375
0.28,4.95,0.06,1.64,93.07,1276,0.8,6.549290892
0.28,4.95,0.06,1.64,93.07,1195,0.8,6.137689549
0.1,4.5,0,0,95.4,844,1,4.370408573
0.28,4.95,0.06,1.64,93.07,1244,0.6,6.370358112
0,0,0,0,100,886.1,0.8,4.568014799
0.16,3.95,0,0.5,95.39,1105,0.6,5.664029882
0.28,4.95,0.06,1.64,93.07,971,0.6,4.983109142
0.28,4.95,0.06,1.64,93.07,958,0.6,4.917049667
0.18,3.34,6.57,0,89.91,550,0.9,2.868285723
0.78,0.03,0,0.03,99.16,1220.4,0.4,6.234109915
0,0,0,0,100,724.4,0.6,3.730011721
0,0,0,0,100,839.7,0.5,4.307746025
0.28,4.95,0.06,1.64,93.07,837,0.5,4.294025981
0.002,0.17,0,0.01,99.818,627.1,0.6,3.23558196
0.28,4.95,0.06,1.64,93.07,690,0.4,3.538883345
0.78,0.03,0,0.03,99.16,870.5,0.3,4.447931323
0.78,0.03,0,0.03,99.16,1150.6,0.2,5.863096508
