C,Mn,Al,Si,Fe,UTS,UE
0.15,7.0,1.0,0.3,91.55,1011.4,45.6
0.15,7.0,1.0,0.3,91.55,1342.3,18.2
0.15,7.0,1.0,0.3,91.55,1566.7,6.3
0.25,8.67,2.69,0.54,87.85,1094.0,48.2
0.25,8.67,2.69,0.54,87.85,1062.0,43.0
0.25,8.67,2.69,0.54,87.85,1138.0,62.4
0.25,8.67,2.69,0.54,87.85,1143.0,59.4
0.2,4.88,3.11,0.62,91.19,852.7,60.7
0.2,4.88,3.11,0.62,91.19,1103.3,42.3
0.22,11.2,1.95,0.0,86.63,1403.4,30.2
0.18,11.02,3.81,0.0,84.99,736.4,30.0
0.4,6.25,2.24,0.0,91.11,1085.6,12.8
0.4,6.25,2.24,0.0,91.11,1003.9,26.3
0.4,6.25,2.24,0.0,91.11,1067.6,60.3
0.4,6.25,2.24,0.0,91.11,1392.2,41.6
0.17,5.6,1.2,0.0,93.03,1058.6,9.0
0.17,5.6,1.2,0.0,93.03,1191.2,45.3
0.17,5.6,1.2,0.0,93.03,1166.7,41.7
0.17,5.6,1.2,0.0,93.03,1161.8,30.2
0.17,5.6,1.2,0.0,93.03,1120.0,23.8
0.23,3.0,1.7,0.6,94.47,1197.0,25.0
0.23,3.0,1.7,0.6,94.47,1234.0,30.0
0.23,3.0,1.7,0.6,94.47,1285.0,25.0
0.23,3.0,1.7,0.6,94.47,1449.0,20.0
0.11,8.1,1.8,0.6,89.39000000000001,1455.0,12.0
0.11,8.1,1.8,0.6,89.39000000000001,1106.0,57.0
0.11,8.1,1.8,0.6,89.39000000000001,1290.0,35.0
0.11,8.1,1.8,0.6,89.39000000000001,1405.0,30.0
0.25,7.17,2.6,0.0,89.98,937.0,52.2
0.25,7.17,2.6,0.0,89.98,943.0,59.8
0.05,8.51,0.08,0.29,91.07,1034.0,17.1
0.093,7.22,0.013,0.49,92.184,1231.0,22.2
0.21,4.94,0.032,1.5,93.31800000000001,1168.0,29.4
0.2,1.5,0.035,1.49,96.775,873.0,20.0
0.3,4.0,0.0,1.6,94.10000000000001,1661.0,11.9
0.3,4.0,0.0,1.6,94.10000000000001,1666.0,13.7
0.3,4.0,0.0,1.6,94.10000000000001,1621.0,12.4
0.3,4.0,0.0,1.6,94.10000000000001,1556.0,14.7
0.1,5.0,0.02,1.2,93.68,1061.2,21.6
0.1,5.0,0.02,1.2,93.68,779.3,35.6
0.28,4.08,0.0,1.42,94.22,1509.3,15.2
0.28,4.08,0.0,1.42,94.22,1539.0,13.6
0.28,4.08,0.0,1.42,94.22,1394.8,9.7
0.12,4.89,1.52,0.0,93.47,1342.0,4.2
0.12,4.89,1.52,0.0,93.47,667.0,17.0
0.12,4.89,1.52,0.0,93.47,986.0,16.2
0.12,4.89,1.52,0.0,93.47,877.0,19.4
0.21,10.2,1.94,0.0,87.65,1335.0,16.2
0.21,10.2,1.94,0.0,87.65,1685.0,7.9
0.21,10.2,1.94,0.0,87.65,1662.0,9.2
0.21,10.2,1.94,0.0,87.65,1515.0,14.8
0.21,10.2,1.94,0.0,87.65,1362.0,13.8
